,ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,COMPANY CONFORMED NAME,CENTRAL INDEX KEY,FISCAL YEAR END
902,0001047469-10-002937,10-K,20091231,20100330,20100330,GENERAC HOLDINGS INC.,0001474735,1231
903,0001193125-11-039230,10-K,20101231,20110217,20110217,ALCOA INC,0000004281,1231
904,0000950123-11-018415,10-K,20101231,20110225,20110225,HESS CORP,0000004447,1231
905,0001193125-11-332050,10-K,20111030,20111206,20111206,APPLIED MATERIALS INC /DE,0000006951,1031
906,0000007084-11-000028,10-K,20110630,20110825,20110824,ARCHER DANIELS MIDLAND CO,0000007084,0630
907,0000950123-11-100266,10-K,20110930,20111123,20111123,BECTON DICKINSON & CO,0000010795,0930
908,0001193125-11-040120,10-K,20101231,20110218,20110218,BRISTOL MYERS SQUIBB CO,0000014272,1231
909,0001144204-11-011090,10-K,20101231,20110225,20110225,CINCINNATI FINANCIAL CORP,0000020286,1231
910,0000950123-11-012422,10-K,20101231,20110211,20110211,DOVER CORP,0000029905,1231
911,0001193125-11-051468,10-K,20110102,20110301,20110301,PERKINELMER INC,0000031791,0102
912,0001104659-11-009751,10-K,20101231,20110224,20110224,EQT Corp,0000033213,1231
913,0000038777-11-000225,10-K,20110930,20111115,20111115,FRANKLIN RESOURCES INC,0000038777,0930
914,0000950123-11-017113,10-K,20101226,20110223,20110223,HASBRO INC,0000046080,1230
915,0001047469-11-010094,10-K,20111031,20111214,20111214,HEWLETT PACKARD CO,0000047217,1031
916,0001193125-11-318681,10-K,20110930,20111121,20111121,JACOBS ENGINEERING GROUP INC /DE/,0000052988,0930
917,0001193125-11-041620,10-K,20101231,20110222,20110222,LILLY ELI & CO,0000059478,1231
918,0001193125-11-043352,10-K,20101231,20110223,20110223,LOEWS CORP,0000060086,1231
919,0001193125-11-047795,10-K,20101231,20110228,20110225,"MARSH & MCLENNAN COMPANIES, INC.",0000062709,1231
920,0001140361-11-012444,10-K,20101231,20110228,20110228,XCEL ENERGY INC,0000072903,1231
921,0000950123-11-017187,10-K,20101231,20110223,20110223,"UDR, Inc.",0000074208,1231
922,0000950123-11-016543,10-K,20101231,20110222,20110222,PACKAGING CORP OF AMERICA,0000075677,1231
923,0001193125-11-038642,10-K,20101231,20110217,20110217,PPG INDUSTRIES INC,0000079879,1231
924,0000950123-11-009144,10-K,20101231,20110204,20110204,SCHLUMBERGER LTD /NV/,0000087347,1231
925,0001193125-11-026045,10-K,20101231,20110208,20110207,SOUTHWEST AIRLINES CO,0000092380,1231
926,0000097745-11-000013,10-K,20101231,20110224,20110224,THERMO FISHER SCIENTIFIC INC.,0000097745,1231
927,0001193125-11-024531,10-K,20101231,20110204,20110204,UNION PACIFIC CORP,0000100885,1231
928,0001193125-11-047891,10-K,20101231,20110228,20110225,MARATHON OIL CORP,0000101778,1231
929,0000950123-11-021306,10-K,20110101,20110302,20110302,V F CORP,0000103379,0102
930,0000950123-11-076255,10-K,20110701,20110812,20110811,WESTERN DIGITAL CORP,0000106040,0629
931,0000950123-11-018126,10-K,20101231,20110225,20110224,WILLIAMS COMPANIES INC,0000107263,1231
932,0000950123-11-081041,10-K,20110701,20110829,20110829,HARRIS CORP /DE/,0000202058,0627
933,0001047469-11-001427,10-K,20101231,20110225,20110225,AON CORP,0000315293,1231
934,0001193125-11-046932,10-K,20101231,20110225,20110225,SCHWAB CHARLES CORP,0000316709,1231
935,0000950123-11-018800,10-K,20101231,20110225,20110225,AMGEN INC,0000318154,1231
936,0001193125-11-194791,10-K,20110531,20110722,20110722,NIKE INC,0000320187,0531
937,0001193125-11-282113,10-K,20110924,20111026,20111026,APPLE INC,0000320193,0930
938,0001193125-11-076501,10-K,20110130,20110324,20110324,HOME DEPOT INC,0000354950,0128
939,0001193125-11-227691,10-K,20110626,20110819,20110819,LAM RESEARCH CORP,0000707549,0629
940,0001193125-11-343993,10-K,20111031,20111216,20111216,COOPER COMPANIES INC,0000711404,1031
941,0001193125-11-149262,10-K,20110331,20110524,20110524,ELECTRONIC ARTS INC.,0000712515,0331
942,0000720005-11-000101,10-K,20110930,20111123,20111123,RAYMOND JAMES FINANCIAL INC,0000720005,0930
943,0001193125-11-233322,10-K,20110630,20110826,20110826,CARDINAL HEALTH INC,0000721371,0630
944,0000950123-11-065947,10-K,20110531,20110715,20110715,PAYCHEX INC,0000723531,0531
945,0000950123-11-015746,10-K,20101231,20110218,20110218,VENTAS INC,0000740260,1231
946,0001047469-11-004045,10-K,20110226,20110425,20110425,BEST BUY CO INC,0000764478,0228
947,0001193125-11-200680,10-K,20110630,20110728,20110728,MICROSOFT CORP,0000789019,0630
948,0000796343-11-000003,10-K,20101203,20110127,20110127,ADOBE SYSTEMS INC,0000796343,1130
949,0001193125-11-045000,10-K,20101231,20110224,20110224,FISERV INC,0000798354,1231
950,0001234452-11-000360,10-K,20110925,20111102,20111102,QUALCOMM INC/DE,0000804328,0930
951,0000950123-11-017955,10-K,20110101,20110224,20110224,CADENCE DESIGN SYSTEMS INC,0000813672,1229
952,0001047469-11-001419,10-K,20101231,20110225,20110225,CBS CORP,0000813828,1231
953,0001193125-11-317245,10-K,20110930,20111118,20111118,FAIR ISAAC CORP,0000814547,0930
954,0001047469-11-001543,10-K,20101231,20110228,20110228,AMERIPRISE FINANCIAL INC,0000820027,1231
955,0001047469-11-001484,10-K,20101231,20110228,20110228,EDISON INTERNATIONAL,0000827052,1028
956,0000827054-11-000157,10-K,20110331,20110531,20110531,MICROCHIP TECHNOLOGY INC,0000827054,0331
957,0000827054-11-000162,10-K/A,20110331,20110621,20110621,MICROCHIP TECHNOLOGY INC,0000827054,0331
958,0001047469-11-009619,10-K,20110930,20111116,20111116,TYCO INTERNATIONAL LTD,0000833444,0925
959,0000950123-11-020223,10-K,20101231,20110301,20110301,MOHAWK INDUSTRIES INC,0000851968,1231
960,0001193125-11-320641,10-K,20110924,20111123,20111123,HOLOGIC INC,0000859737,0924
961,0000950123-11-015233,10-K,20101231,20110217,20110217,"HCA Holdings, Inc.",0000860730,1231
962,0001104659-11-011438,10-K,20101231,20110301,20110301,HANSEN NATURAL CORP,0000865752,1207
963,0001193125-11-047720,10-K,20101231,20110228,20110225,AES CORP,0000874761,1231
964,0001047469-11-001198,10-K,20101231,20110223,20110223,INCYTE CORP,0000879169,1231
965,0000950123-11-099334,10-K,20110930,20111117,20111117,HORTON D R INC /DE/,0000882184,0930
966,0001193125-11-045435,10-K,20101231,20110224,20110224,ROYAL CARIBBEAN CRUISES LTD,0000884887,1231
967,0001047469-11-001622,10-K,20101231,20110301,20110301,IAC/INTERACTIVECORP,0000891103,1201
968,0001193125-11-050049,10-K,20101231,20110228,20110228,MORGAN STANLEY,0000895421,1231
969,0001193125-11-049998,10-K,20101231,20110228,20110228,O REILLY AUTOMOTIVE INC,0000898173,1231
970,0001193125-11-284229,10-K,20110831,20111027,20111027,JABIL CIRCUIT INC,0000898293,0831
971,0000950123-11-017763,10-K,20101231,20110224,20110224,CAMDEN PROPERTY TRUST,0000906345,1231
972,0000950123-11-011507,10-K,20101231,20110210,20110210,BORGWARNER INC,0000908255,1231
973,0001193125-11-271844,10-K,20110828,20111014,20111014,COSTCO WHOLESALE CORP /NEW,0000909832,0828
974,0001193125-11-051803,10-K,20101231,20110301,20110301,REGENCY CENTERS CORP,0000910606,1231
975,0000950123-11-018684,10-K,20101231,20110225,20110225,Invesco Ltd.,0000914208,1231
976,0000915389-11-000022,10-K,20101231,20110223,20110223,EASTMAN CHEMICAL CO,0000915389,1231
977,0001193125-11-047404,10-K,20101231,20110225,20110225,ALBEMARLE CORP,0000915913,1231
978,0000950123-11-018849,10-K,20101231,20110225,20110225,MARTIN MARIETTA MATERIALS INC,0000916076,1231
979,0000920148-11-000021,10-K,20101231,20110301,20110301,LABORATORY CORP OF AMERICA HOLDINGS,0000920148,1231
980,0000950123-11-045634,10-K,20110331,20110505,20110505,MCKESSON CORP,0000927653,0331
981,0000935703-11-000014,10-K,20110129,20110317,20110317,DOLLAR TREE INC,0000935703,0130
982,0000950123-11-015771,10-K,20101231,20110218,20110218,DTE ENERGY CO,0000936340,1231
983,0001193125-11-046939,10-K,20101231,20110225,20110225,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,1231
984,0000945841-11-000020,10-K,20101231,20110301,20110301,POOL CORP,0000945841,1231
985,0001047469-11-005488,10-K,20110331,20110525,20110524,TAKE TWO INTERACTIVE SOFTWARE INC,0000946581,0331
986,0000950123-11-018381,10-K,20101231,20110225,20110225,WATERS CORP /DE/,0001000697,1231
987,0001104659-11-048120,10-K,20110630,20110822,20110822,ESTEE LAUDER COMPANIES INC,0001001250,0630
988,0001193125-11-171858,10-K,20110429,20110623,20110623,"NetApp, Inc.",0001002047,0425
989,0001047469-11-001125,10-K,20101231,20110222,20110222,"NRG ENERGY, INC.",0001013871,1231
990,0001193125-11-016253,10-K,20101231,20110128,20110127,AMAZON COM INC,0001018724,1231
991,0001047469-11-001600,10-K,20101231,20110301,20110301,IRON MOUNTAIN INC,0001020569,1231
992,0001193125-11-047496,10-K,20101231,20110225,20110225,BOSTON PROPERTIES INC,0001037540,1231
993,0000950123-11-014519,10-K,20101231,20110216,20110216,METTLER TOLEDO INTERNATIONAL INC/,0001037646,1231
994,0000950123-11-017564,10-K,20101231,20110224,20110224,AMETEK INC/,0001037868,1231
995,0001039684-11-000029,10-K,20110222,20110222,20110222,ONEOK INC /NEW/,0001039684,1231
996,0001193125-11-318885,10-K,20110930,20111122,20111121,F5 NETWORKS INC,0001048695,0930
997,0001445305-11-000263,10-K,20101231,20110215,20110215,CROWN CASTLE INTERNATIONAL CORP,0001051470,1231
998,0001057352-11-000012,10-K,20101231,20110225,20110224,COSTAR GROUP INC,0001057352,1231
999,0001193125-11-043696,10-K,20101231,20110223,20110223,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,1231
1000,0001193125-11-040217,10-K,20101231,20110218,20110218,NETFLIX INC,0001065280,1231
1001,0000950123-11-025257,10-K,20101231,20110314,20110314,TASER INTERNATIONAL INC,0001069183,Not found
1002,0001104659-11-010302,10-K,20101231,20110225,20110225,PRICELINE COM INC,0001075531,1231
1003,0001193125-11-051569,10-K,20101231,20110301,20110301,AKAMAI TECHNOLOGIES INC,0001086222,1231
1004,0000950123-11-018537,10-K,20101231,20110225,20110225,DEVON ENERGY CORP/DE,0001090012,1231
1005,0001047469-11-010124,10-K,20111031,20111216,20111216,AGILENT TECHNOLOGIES INC,0001090872,1031
1006,0001091667-11-000029,10-K,20101231,20110301,20110301,"CHARTER COMMUNICATIONS, INC. /MO/",0001091667,1231
1007,0000950123-11-021752,10-K,20110102,20110303,20110303,TELEDYNE TECHNOLOGIES INC,0001094285,1231
1008,0001193125-11-045204,10-K,20101231,20110224,20110224,ON SEMICONDUCTOR CORP,0001097864,1231
1009,0001047469-11-001550,10-K,20101231,20110228,20110228,Edwards Lifesciences Corp,0001099800,1231
1010,0001047469-11-001182,10-K,20101225,20110223,20110223,CHARLES RIVER LABORATORIES INTERNATIONAL INC,0001100682,1227
1011,0000950123-11-019925,10-K,20110102,20110228,20110228,ILLUMINA INC,0001110803,0103
1012,0000950123-11-010348,10-K,20101231,20110208,20110208,PRICE T ROWE GROUP INC,0001113169,1231
1013,0001144204-11-010358,10-K,20101225,20110223,20110223,GARMIN LTD,0001121788,1230
1014,0001047469-11-000974,10-K,20101231,20110216,20110216,PRINCIPAL FINANCIAL GROUP INC,0001126328,0224
1015,0001130310-11-000006,10-K,20101231,20110301,20110301,CENTERPOINT ENERGY INC,0001130310,1231
1016,0000950123-11-018592,10-K,20101231,20110225,20110225,ZIMMER HOLDINGS INC,0001136869,1231
1017,0000950123-11-018522,10-K,20101231,20110225,20110225,"Fidelity National Information Services, Inc.",0001136893,1231
1018,0001193125-11-051618,10-K,20101231,20110301,20110301,CB RICHARD ELLIS GROUP INC,0001138118,1231
1019,0001193125-11-044721,10-K,20101231,20110224,20110224,MASTERCARD INC,0001141391,1231
1020,0000950123-11-017350,10-K,20101231,20110224,20110223,NEWMONT MINING CORP /DE/,0001164727,1231
1021,0001170010-11-000050,10-K/A,20110228,20110624,20110624,CARMAX INC,0001170010,1127
1022,0001193125-11-050547,10-K,20101231,20110301,20110228,WYNN RESORTS LTD,0001174922,1231
1023,0000950123-11-023069,10-K,20101231,20110308,20110308,MOLINA HEALTHCARE INC,0001179929,1231
1024,0001193125-11-043706,10-K,20101231,20110223,20110223,ASSURANT INC,0001267238,1231
1025,0001193125-11-047709,10-K/A,20101231,20110225,20110225,ASSURANT INC,0001267238,1231
1026,0001274494-11-000007,10-K,20101231,20110228,20110225,"FIRST SOLAR, INC.",0001274494,1231
1027,0000950123-11-017944,10-K,20101231,20110224,20110224,MARKETAXESS HOLDINGS INC,0001278021,1231
1028,0001193125-11-051403,10-K,20101231,20110301,20110301,METROPCS COMMUNICATIONS INC,0001283699,1231
1029,0001193125-11-050979,10-K,20110102,20110301,20110301,DOMINOS PIZZA INC,0001286681,Not found
1030,0001193125-11-047638,10-K,20101231,20110225,20110225,"Digital Realty Trust, Inc.",0001297996,1231
1031,0000950123-11-012862,10-K,20101231,20110211,20110211,Celanese CORP,0001306830,1231
1032,0000950123-11-021379,10-K,20101231,20110303,20110302,"Builders FirstSource, Inc.",0001316835,1231
1033,0001193125-11-030900,10-K,20101231,20110211,20110210,"Expedia, Inc.",0001324424,1231
1034,0001193125-11-078283,10-K,20110131,20110325,20110325,"SAIC, Inc.",0001336920,0131
1035,0001193125-11-174819,10-K,20110531,20110628,20110627,ORACLE CORP,0001341439,0531
1036,0001193125-11-050218,10-K,20101231,20110228,20110228,BlackRock Inc.,0001364742,0226
1037,0001047469-11-002202,10-K,20101231,20110316,20110316,"CBOE Holdings, Inc.",0001374310,1231
1038,0001389170-11-000003,10-K,20110223,20110228,20110225,Targa Resources Corp.,0001389170,1231
1039,0000950123-11-030900,10-K,20110129,20110330,20110330,"Ulta Salon, Cosmetics & Fragrance, Inc.",0001403568,0203
1040,0000950123-11-019814,10-K,20101231,20110228,20110228,"Verisk Analytics, Inc.",0001442145,1231
1041,0001193125-11-042044,10-K,20101231,20110222,20110222,Ingersoll-Rand plc,0001466258,1231
1042,0001474735-11-000011,10-K,20101231,20110307,20110307,GENERAC HOLDINGS INC.,0001474735,1231
1043,0000950123-11-026580,10-K,20101231,20110318,20110318,LyondellBasell Industries N.V.,0001489393,1231
1044,0001506307-11-000009,10-K,20101231,20110302,20110302,"KINDER MORGAN, INC.",0001506307,1231
1045,0001193125-12-065493,10-K,20111231,20120216,20120926,ALCOA INC,0000004281,1231
1046,0000006951-12-000018,10-K,20121028,20121205,20121205,APPLIED MATERIALS INC /DE,0000006951,1030
1047,0000007084-12-000034,10-K,20120630,20120827,20120824,ARCHER DANIELS MIDLAND CO,0000007084,0630
1048,0001193125-12-066416,10-K,20111231,20120217,20120217,BRISTOL MYERS SQUIBB CO,0000014272,1231
1049,0001144204-12-011957,10-K,20111231,20120229,20120229,CINCINNATI FINANCIAL CORP,0000020286,1231
1050,0001047469-12-002714,10-K,20120128,20120315,20120315,TARGET CORP,0000027419,0131
1051,0001445305-12-000499,10-K,20120101,20120228,20120228,PERKINELMER INC,0000031791,0102
1052,0001104659-12-010579,10-K,20111231,20120216,20120216,EQT Corp,0000033213,1231
1053,0001193125-12-075161,10-K,20111231,20120223,20120223,M&T BANK CORP,0000036270,1231
1054,0001193125-12-072846,10-K,20111225,20120222,20120222,HASBRO INC,0000046080,1230
1055,0001047469-12-011417,10-K,20121031,20121227,20121227,HEWLETT PACKARD CO,0000047217,1031
1056,0001193125-12-078393,10-K,20111231,20120224,20120224,LILLY ELI & CO,0000059478,1231
1057,0001193125-12-072891,10-K,20111231,20120222,20120222,LOEWS CORP,0000060086,1231
1058,0000062709-12-000016,10-K,20111231,20120228,20120228,"MARSH & MCLENNAN COMPANIES, INC.",0000062709,1231
1059,0001193125-12-063569,10-K,20111231,20120215,20120215,"Motorola Solutions, Inc.",0000068505,1231
1060,0001140361-12-010717,10-K,20111231,20120224,20120224,XCEL ENERGY INC,0000072903,1231
1061,0001193125-12-083972,10-K,20111231,20120228,20120228,NUCOR CORP,0000073309,1231
1062,0000950123-12-003185,10-K,20111231,20120227,20120227,"UDR, Inc.",0000074208,1231
1063,0001193125-12-070269,10-K,20111231,20120221,20120221,PACKAGING CORP OF AMERICA,0000075677,1231
1064,0001193125-12-049647,10-K,20111231,20120209,20120209,SOUTHWEST AIRLINES CO,0000092380,1231
1065,0000097745-12-000010,10-K,20111231,20120229,20120229,THERMO FISHER SCIENTIFIC INC.,0000097745,1231
1066,0001193125-12-038569,10-K,20111231,20120203,20120203,UNION PACIFIC CORP,0000100885,1231
1067,0001193125-12-088742,10-K,20111231,20120229,20120229,MARATHON OIL CORP,0000101778,1231
1068,0001193125-12-088711,10-K,20111231,20120229,20120229,V F CORP,0000103379,1231
1069,0001193125-12-361018,10-K,20120629,20120820,20120817,WESTERN DIGITAL CORP,0000106040,0629
1070,0001193125-12-369967,10-K,20120629,20120827,20120827,HARRIS CORP /DE/,0000202058,0627
1071,0001193125-12-074981,10-K,20111231,20120223,20120223,TEXTRON INC,0000217346,0102
1072,0001193125-12-067457,10-K,20111231,20120217,20120217,HALF ROBERT INTERNATIONAL INC /DE/,0000315213,1231
1073,0001047469-12-001478,10-K,20111231,20120224,20120224,AON CORP,0000315293,1231
1074,0001193125-12-077926,10-K,20111231,20120224,20120224,SCHWAB CHARLES CORP,0000316709,1231
1075,0001193125-12-444068,10-K,20120929,20121031,20121031,APPLE INC,0000320193,0929
1076,0000354950-12-000003,10-K,20120129,20120322,20120322,HOME DEPOT INC,0000354950,0129
1077,0001193125-12-365446,10-K,20120624,20120822,20120822,LAM RESEARCH CORP,0000707549,0629
1078,0000711404-12-000011,10-K,20121031,20121220,20121219,COOPER COMPANIES INC,0000711404,1031
1079,0001193125-12-249324,10-K,20120331,20120525,20120525,ELECTRONIC ARTS INC.,0000712515,0331
1080,0000720005-12-000113,10-K,20120930,20121121,20121121,RAYMOND JAMES FINANCIAL INC,0000720005,0930
1081,0000721371-12-000069,10-K,20120630,20120822,20120822,CARDINAL HEALTH INC,0000721371,0630
1082,0001193125-12-309041,10-K,20120531,20120720,20120720,PAYCHEX INC,0000723531,0531
1083,0000731766-12-000009,10-K,20111231,20120209,20120208,UNITEDHEALTH GROUP INC,0000731766,1231
1084,0001047469-12-001287,10-K,20111231,20120222,20120222,VENTAS INC,0000740260,1231
1085,0000764478-12-000035,10-K,20120303,20120501,20120501,BEST BUY CO INC,0000764478,0303
1086,0001193125-12-316848,10-K,20120630,20120726,20120726,MICROSOFT CORP,0000789019,0630
1087,0001193125-12-076117,10-K,20111231,20120224,20120223,CADENCE DESIGN SYSTEMS INC,0000813672,1229
1088,0001047469-12-001373,10-K,20111231,20120223,20120223,CBS CORP,0000813828,1231
1089,0001193125-12-473516,10-K,20120930,20121116,20121116,FAIR ISAAC CORP,0000814547,0930
1090,0001047469-12-001474,10-K,20111231,20120224,20120224,AMERIPRISE FINANCIAL INC,0000820027,1231
1091,0000827052-12-000013,10-K,20111231,20120229,20120229,EDISON INTERNATIONAL,0000827052,1028
1092,0000829224-12-000007,10-K,20120930,20121116,20121116,STARBUCKS CORP,0000829224,0928
1093,0001193125-12-078246,10-K,20111231,20120224,20120224,IDEX CORP /DE/,0000832101,1231
1094,0001193125-12-241997,10-K,20120330,20120521,20120521,SYMANTEC CORP,0000849399,0402
1095,0001193125-12-087058,10-K,20111231,20120229,20120229,MOHAWK INDUSTRIES INC,0000851968,1231
1096,0001047469-12-001751,10-K,20111231,20120228,20120228,CABOT OIL & GAS CORP,0000858470,1231
1097,0001193125-12-482840,10-K,20120929,20121128,20121128,HOLOGIC INC,0000859737,0924
1098,0001193125-12-075882,10-K,20111231,20120224,20120223,"HCA Holdings, Inc.",0000860730,1231
1099,0001193125-12-082672,10-K,20111230,20120228,20120227,TRIMBLE NAVIGATION LTD /CA/,0000864749,1231
1100,0001104659-12-014573,10-K,20111231,20120229,20120229,Monster Beverage Corp,0000865752,1231
1101,0001193125-12-430271,10-K,20120825,20121022,20121022,AUTOZONE INC,0000866787,1231
1102,0001193125-12-078654,10-K,20111231,20120227,20120224,AES CORP,0000874761,1231
1103,0001193125-12-039072,10-K,20111231,20120203,20120203,BIOGEN IDEC INC.,0000875045,1231
1104,0001193125-12-075320,10-K,20111231,20120223,20120223,ZEBRA TECHNOLOGIES CORP,0000877212,1231
1105,0001047469-12-001295,10-K,20111231,20120222,20120222,INCYTE CORP,0000879169,1231
1106,0000882184-12-000065,10-K,20120930,20121116,20121116,HORTON D R INC /DE/,0000882184,0930
1107,0001193125-12-510596,10-K,20121031,20121220,20121220,SYNOPSYS INC,0000883241,1031
1108,0001047469-12-001904,10-K,20111231,20120229,20120229,IAC/INTERACTIVECORP,0000891103,1201
1109,0001047469-12-000530,10-K/A,20101231,20120201,20120201,IAC/INTERACTIVECORP,0000891103,1201
1110,0001193125-12-081807,10-K,20111231,20120227,20120227,MORGAN STANLEY,0000895421,1231
1111,0001193125-12-078111,10-K,20111231,20120224,20120224,ACE Ltd,0000896159,1231
1112,0001193125-12-085384,10-K,20111231,20120228,20120228,O REILLY AUTOMOTIVE INC,0000898173,1231
1113,0001193125-12-435503,10-K,20120831,20121025,20121025,JABIL CIRCUIT INC,0000898293,0831
1114,0000906107-12-000004,10-K,20111231,20120224,20120224,EQUITY RESIDENTIAL,0000906107,1231
1115,0001193125-12-072956,10-K,20111231,20120222,20120222,NVR INC,0000906163,1231
1116,0000908255-12-000008,10-K,20111231,20120214,20120214,BORGWARNER INC,0000908255,1231
1117,0001193125-12-428890,10-K,20120902,20121019,20121019,COSTCO WHOLESALE CORP /NEW,0000909832,0902
1118,0000914208-12-000332,10-K,20111231,20120224,20120224,Invesco Ltd.,0000914208,1231
1119,0000915389-12-000031,10-K,20111231,20120222,20120222,EASTMAN CHEMICAL CO,0000915389,0505
1120,0001193125-12-071957,10-K,20111231,20120222,20120222,ALBEMARLE CORP,0000915913,1231
1121,0001193125-12-088047,10-K,20111231,20120229,20120229,MARTIN MARIETTA MATERIALS INC,0000916076,1231
1122,0000920148-12-000039,10-K,20111231,20120224,20120223,LABORATORY CORP OF AMERICA HOLDINGS,0000920148,1231
1123,0001140361-12-010939,10-K,20111231,20120227,20120224,ESSEX PROPERTY TRUST INC,0000920522,1231
1124,0001140361-12-012010,10-K/A,20111231,20120301,20120229,ESSEX PROPERTY TRUST INC,0000920522,1231
1125,0001193125-12-204736,10-K,20120331,20120502,20120502,MCKESSON CORP,0000927653,0331
1126,0000935703-12-000007,10-K,20120128,20120315,20120315,DOLLAR TREE INC,0000935703,0128
1127,0000936340-12-000004,10-K,20111231,20120216,20120216,DTE ENERGY CO,0000936340,1231
1128,0001193125-12-077488,10-K,20111231,20120224,20120224,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,1231
1129,0000945841-12-000018,10-K,20111231,20120229,20120229,POOL CORP,0000945841,1231
1130,0001047469-12-006226,10-K,20120331,20120523,20120522,TAKE TWO INTERACTIVE SOFTWARE INC,0000946581,0331
1131,0001193125-12-077126,10-K,20111231,20120224,20120224,WATERS CORP /DE/,0001000697,1231
1132,0001104659-12-058698,10-K,20120630,20120817,20120817,ESTEE LAUDER COMPANIES INC,0001001250,0630
1133,0001193125-12-275547,10-K,20120427,20120619,20120619,"NetApp, Inc.",0001002047,0425
1134,0001445305-12-000493,10-K,20111231,20120228,20120228,"NRG ENERGY, INC.",0001013871,1231
1135,0001193125-12-032846,10-K,20111231,20120201,20120131,AMAZON COM INC,0001018724,1231
1136,0001047469-12-001785,10-K,20111231,20120228,20120228,IRON MOUNTAIN INC,0001020569,1231
1137,0001024478-12-000024,10-K,20120930,20121119,20121119,ROCKWELL AUTOMATION INC,0001024478,0930
1138,0001193125-12-039226,10-K,20111231,20120206,20120203,INTUITIVE SURGICAL INC,0001035267,1231
1139,0001193125-12-247066,10-K,20120331,20120524,20120524,RALPH LAUREN CORP,0001037038,0331
1140,0001193125-12-085764,10-K,20111231,20120228,20120228,BOSTON PROPERTIES INC,0001037540,1231
1141,0001037646-12-000011,10-K,20111231,20120213,20120213,METTLER TOLEDO INTERNATIONAL INC/,0001037646,1231
1142,0001193125-12-074885,10-K,20111231,20120223,20120223,AMETEK INC/,0001037868,1231
1143,0001193125-12-088998,10-K,20111231,20120229,20120229,PIONEER NATURAL RESOURCES CO,0001038357,0126
1144,0001039684-12-000027,10-K,20111231,20120221,20120221,ONEOK INC /NEW/,0001039684,1231
1145,0001193125-12-478451,10-K,20120930,20121121,20121121,F5 NETWORKS INC,0001048695,0930
1146,0001051470-12-000007,10-K,20111231,20120213,20120213,CROWN CASTLE INTERNATIONAL CORP,0001051470,1231
1147,0001057352-12-000024,10-K,20111231,20120223,20120223,COSTAR GROUP INC,0001057352,1231
1148,0001193125-12-081638,10-K,20111231,20120227,20120227,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,1231
1149,0001193125-12-053009,10-K,20111231,20120210,20120210,NETFLIX INC,0001065280,1231
1150,0001193125-12-112320,10-K,20111231,20120313,20120313,TASER INTERNATIONAL INC,0001069183,Not found
1151,0001075531-12-000005,10-K,20111231,20120227,20120227,PRICELINE COM INC,0001075531,1231
1152,0001266432-12-000010,10-K,20111231,20120229,20120229,AKAMAI TECHNOLOGIES INC,0001086222,1231
1153,0001090872-12-000018,10-K,20121031,20121220,20121220,AGILENT TECHNOLOGIES INC,0001090872,1031
1154,0001193125-12-089549,10-K,20120101,20120229,20120229,TELEDYNE TECHNOLOGIES INC,0001094285,1231
1155,0001047469-12-001617,10-K,20111231,20120227,20120227,Edwards Lifesciences Corp,0001099800,1231
1156,0001518519-12-000030,10-K,20111231,20120227,20120227,CHARLES RIVER LABORATORIES INTERNATIONAL INC,0001100682,1227
1157,0001193125-12-080318,10-K,20111231,20120227,20120227,KRAFT FOODS INC,0001103982,1231
1158,0001193125-12-077518,10-K,20111231,20120224,20120224,"NASDAQ OMX GROUP, INC.",0001120193,1231
1159,0001144204-12-012007,10-K,20111231,20120229,20120229,GARMIN LTD,0001121788,1230
1160,0001047469-12-001065,10-K,20111231,20120215,20120215,PRINCIPAL FINANCIAL GROUP INC,0001126328,0224
1161,0001130310-12-000011,10-K,20111231,20120229,20120229,CENTERPOINT ENERGY INC,0001130310,1231
1162,0001136893-12-000017,10-K,20111231,20120224,20120224,"Fidelity National Information Services, Inc.",0001136893,1231
1163,0001193125-12-089257,10-K,20111231,20120229,20120229,"CBRE GROUP, INC.",0001138118,1231
1164,0001141391-12-000003,10-K,20111231,20120216,20120216,MASTERCARD INC,0001141391,1231
1165,0001193125-12-072739,10-K,20111231,20120222,20120222,"WELLPOINT, INC",0001156039,1231
1166,0001193125-12-070636,10-K,20111231,20120221,20120221,CONOCOPHILLIPS,0001163165,1231
1167,0001193125-12-075918,10-K,20111231,20120224,20120223,NEWMONT MINING CORP /DE/,0001164727,1231
1168,0001193125-12-073905,10-K,20111231,20120223,20120223,COMCAST CORP,0001166691,1231
1169,0001193125-12-182512,10-K,20120229,20120425,20120425,CARMAX INC,0001170010,0228
1170,0001193125-12-089377,10-K,20111231,20120229,20120229,WYNN RESORTS LTD,0001174922,1231
1171,0001193125-12-089404,10-K,20111231,20120229,20120229,MOLINA HEALTHCARE INC,0001179929,1231
1172,0001193125-12-075371,10-K,20111231,20120223,20120223,ASSURANT INC,0001267238,1231
1173,0001274494-12-000015,10-K,20111231,20120229,20120229,"FIRST SOLAR, INC.",0001274494,1231
