TICKERS,TICKER FROM BLOOMBERG,CIK,YEAR,REVENUE,INCOME,ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,COMPANY CONFORMED NAME,FISCAL YEAR END
BLDR,BLDR US       d,1316835,2012,1070.68,-56.86,0001193125-13-087218,10-K,20121231,20130301,20130301,"Builders FirstSource, Inc.",1231
BLDR,BLDR US       d,1316835,2013,1489.89,-42.69,0001564590-14-000455,10-K,20131231,20140228,20140228,"Builders FirstSource, Inc.",1231
BLDR,BLDR US       d,1316835,2014,1604.1,18.15,0001564590-15-001235,10-K,20141231,20150303,20150303,"Builders FirstSource, Inc.",1231
BLDR,BLDR US       d,1316835,2015,3564.43,-22.83,0001564590-16-014562,10-K,20151231,20160311,20160311,"Builders FirstSource, Inc.",1231
BLDR,BLDR US       d,1316835,2017,7034.21,38.78,0001564590-18-004035,10-K,20171231,20180301,20180301,"Builders FirstSource, Inc.",1231
BLDR,BLDR US       d,1316835,2019,7280.43,221.81,0001564590-20-005717,10-K,20191231,20200221,20200221,"Builders FirstSource, Inc.",1231
BLDR,BLDR US       d,1316835,2020,8558.87,313.54,0001564590-21-009308,10-K,20201231,20210226,20210226,"Builders FirstSource, Inc.",1231
BLDR,BLDR US       d,1316835,2021,19893.86,1725.42,0001564590-22-007980,10-K,20211231,20220301,20220301,"Builders FirstSource, Inc.",1231
BLK,BLK US         d,1364742,2006,2097.98,322.6,0001193125-07-053304,10-K,20061231,20070313,20070313,BlackRock Inc.,1231
BLK,BLK US         d,1364742,2007,4844.66,995.27,0001193125-08-041884,10-K,20071231,20080228,20080228,BlackRock Inc.,1231
BLK,BLK US         d,1364742,2008,5064,784,0001193125-09-041298,10-K,20081231,20090302,20090227,BlackRock Inc.,226
BLK,BLK US         d,1364742,2009,4700,875,0001193125-10-052764,10-K,20091231,20100310,20100310,BlackRock Inc.,226
BLK,BLK US         d,1364742,2010,8612,2063,0001193125-11-050218,10-K,20101231,20110228,20110228,BlackRock Inc.,226
BLK,BLK US         d,1364742,2011,9081,2337,0001193125-12-085869,10-K,20111231,20120228,20120228,BlackRock Inc.,226
BLK,BLK US         d,1364742,2012,9337,2458,0001193125-13-084957,10-K,20121231,20130301,20130228,BlackRock Inc.,226
BMY,BMY US         d,14272,2002,18106,2137,0001047469-03-010810,10-K,20021231,20030328,Not found,BRISTOL MYERS SQUIBB CO,1231
BMY,BMY US         d,14272,2003,20894,3106,0001193125-04-041353,10-K,20031231,20040315,Not found,BRISTOL MYERS SQUIBB CO,1231
BMY,BMY US         d,14272,2003,20894,3106,0001193125-04-110278,10-K/A,20031231,20040628,Not found,BRISTOL MYERS SQUIBB CO,1231
BMY,BMY US         d,14272,2005,19207,3000,0001193125-06-052456,10-K,20051231,20060314,20060313,BRISTOL MYERS SQUIBB CO,1231
BMY,BMY US         d,14272,2006,17256,1585,0001193125-07-039915,10-K,20061231,20070226,20070226,BRISTOL MYERS SQUIBB CO,1231
BMY,BMY US         d,14272,2008,17715,5247,0001193125-09-033538,10-K,20081231,20090220,20090220,BRISTOL MYERS SQUIBB CO,1231
BMY,BMY US         d,14272,2009,18808,10612,0001193125-10-035167,10-K,20091231,20100219,20100219,BRISTOL MYERS SQUIBB CO,1231
BMY,BMY US         d,14272,2010,19484,3102,0001193125-11-040120,10-K,20101231,20110218,20110218,BRISTOL MYERS SQUIBB CO,1231
BMY,BMY US         d,14272,2011,21244,3709,0001193125-12-066416,10-K,20111231,20120217,20120217,BRISTOL MYERS SQUIBB CO,1231
BWA,BWA US         d,908255,2010,5652.8,377.4,0000950123-11-011507,10-K,20101231,20110210,20110210,BORGWARNER INC,1231
BWA,BWA US         d,908255,2011,7114.7,550.1,0000908255-12-000008,10-K,20111231,20120214,20120214,BORGWARNER INC,1231
BWA,BWA US         d,908255,2012,7183.2,500.9,0000908255-13-000006,10-K,20121231,20130214,20130214,BORGWARNER INC,1231
BWA,BWA US         d,908255,2014,8305.1,655.8,0000908255-15-000012,10-K,20141231,20150212,20150212,BORGWARNER INC,1231
BWA,BWA US         d,908255,2016,9071,595,0000908255-17-000011,10-K,20161231,20170209,20170209,BORGWARNER INC,1231
BWA,BWA US         d,908255,2020,10165,500,0000908255-21-000008,10-K,20201231,20210222,20210222,BORGWARNER INC,1231
BWA,BWA US         d,908255,2021,11803,537,0000908255-22-000009,10-K,20211231,20220215,20220215,BORGWARNER INC,1231
BWA,BWA US         d,908255,2022,12635,944,0000908255-23-000013,10-K,20221231,20230209,20230209,BORGWARNER INC,1231
BX,BX US           d,1393818,2020,6101.93,1045.36,0001193125-21-060361,10-K,20201231,20210226,20210226,Blackstone Group Inc,1231
BX,BX US           d,1393818,2021,22577.15,5857.4,0001193125-22-054433,10-K,20211231,20220225,20220225,Blackstone Inc,1231
BX,BX US           d,1393818,2022,8517.67,1747.63,0001193125-23-048733,10-K,20221231,20230224,20230224,Blackstone Inc.,1231
BXP,BXP US         d,1037540,2003,1299.71,365.32,0001193125-04-029645,10-K,20031231,20040226,Not found,BOSTON PROPERTIES INC,1231
BXP,BXP US         d,1037540,2004,1386.35,284.02,0001193125-05-050590,10-K,20041231,20050315,20050315,BOSTON PROPERTIES INC,1231
BXP,BXP US         d,1037540,2005,1437.64,438.29,0001193125-06-056870,10-K,20051231,20060316,20060316,BOSTON PROPERTIES INC,1231
BXP,BXP US         d,1037540,2006,1417.63,873.64,0001193125-07-044560,10-K,20061231,20070301,20070301,BOSTON PROPERTIES INC,1231
BXP,BXP US         d,1037540,2008,1488.4,105.27,0001193125-09-042701,10-K,20081231,20090302,20090302,BOSTON PROPERTIES INC,1231
BXP,BXP US         d,1037540,2009,1518.19,231.01,0001193125-10-040826,10-K,20091231,20100225,20100225,BOSTON PROPERTIES INC,1231
BXP,BXP US         d,1037540,2010,1550.51,159.07,0001193125-11-047496,10-K,20101231,20110225,20110225,BOSTON PROPERTIES INC,1231
BXP,BXP US         d,1037540,2011,1722.79,272.68,0001193125-12-085764,10-K,20111231,20120228,20120228,BOSTON PROPERTIES INC,1231
BXP,BXP US         d,1037540,2012,1847.19,289.65,0001193125-13-084781,10-K,20121231,20130228,20130228,BOSTON PROPERTIES INC,1231
BXP,BXP US         d,1037540,2015,2490.82,583.11,0001656423-16-000013,10-K,20151231,20160229,20160229,BOSTON PROPERTIES INC,1231
BXP,BXP US         d,1037540,2016,2550.82,512.79,0001656423-17-000003,10-K,20161231,20170228,20170228,BOSTON PROPERTIES INC,1231
BXP,BXP US         d,1037540,2017,2602.08,462.44,0001656423-18-000004,10-K,20171231,20180228,20180228,BOSTON PROPERTIES INC,1231
BXP,BXP US         d,1037540,2018,2717.08,582.85,0001656423-19-000006,10-K,20181231,20190228,20190228,BOSTON PROPERTIES INC,1231
BXP,BXP US         d,1037540,2019,2960.56,521.53,0001656423-20-000007,10-K,20191231,20200302,20200302,BOSTON PROPERTIES INC,1231
BXP,BXP US         d,1037540,2020,2765.69,872.73,0001656423-21-000006,10-K,20201231,20210226,20210226,BOSTON PROPERTIES INC,1231
CAH,CAH US         d,721371,2011,102644.2,959,0001193125-11-233322,10-K,20110630,20110826,20110826,CARDINAL HEALTH INC,630
CAH,CAH US         d,721371,2012,107552,1069,0000721371-12-000069,10-K,20120630,20120822,20120822,CARDINAL HEALTH INC,630
CAH,CAH US         d,721371,2013,101093,334,0000721371-13-000154,10-K,20130630,20130820,20130820,CARDINAL HEALTH INC,630
CAH,CAH US         d,721371,2014,91084,1166,0000721371-14-000181,10-K,20140630,20140813,20140813,CARDINAL HEALTH INC,630
CAT,CAT US         d,18230,2020,41748,2998,0000018230-21-000063,10-K,20201231,20210217,20210217,CATERPILLAR INC,1231
CAT,CAT US         d,18230,2021,50971,6489,0000018230-22-000050,10-K,20211231,20220216,20220216,CATERPILLAR INC,1231
CAT,CAT US         d,18230,2022,59427,6705,0000018230-23-000011,10-K,20221231,20230215,20230215,CATERPILLAR INC,1231
CB,CB US           d,896159,2002,7123,76.55,0000950131-03-001690,10-K,20021231,20030327,Not found,ACE LTD,1231
CB,CB US           d,896159,2007,14154,2578,0001193125-08-042242,10-K,20071231,20080229,20080228,ACE LTD,1231
CB,CB US           d,896159,2008,13698,1197,0001193125-09-040758,10-K,20081231,20090227,20090227,ACE LTD,1231
CB,CB US           d,896159,2009,15075,2549,0001193125-10-040605,10-K,20091231,20100225,20100225,ACE Ltd,1231
CB,CB US           d,896159,2011,16834,1540,0001193125-12-078111,10-K,20111231,20120224,20120224,ACE Ltd,1231
CB,CB US           d,896159,2020,35994,3533,0000896159-21-000003,10-K,20201231,20210225,20210225,Chubb Ltd,1231
CBOE,CBOE US        d,1374310,2010,437.1,99.4,0001047469-11-002202,10-K,20101231,20110316,20110316,"CBOE Holdings, Inc.",1231
CBOE,CBOE US        d,1374310,2011,508.14,139.41,0001445305-12-000485,10-K,20111231,20120228,20120228,"CBOE Holdings, Inc.",1231
CBOE,CBOE US        d,1374310,2012,512.34,157.4,0001374310-13-000008,10-K,20121231,20130228,20130228,"CBOE Holdings, Inc.",1231
CBOE,CBOE US        d,1374310,2012,512.34,157.4,0001374310-13-000025,10-K/A,20121231,20130502,20130502,"CBOE Holdings, Inc.",1231
CBOE,CBOE US        d,1374310,2013,572.05,176,0001374310-14-000008,10-K,20131231,20140221,20140220,"CBOE Holdings, Inc.",1231
CBOE,CBOE US        d,1374310,2014,617.23,189.71,0001374310-15-000005,10-K,20141231,20150220,20150220,"CBOE Holdings, Inc.",1231
CBOE,CBOE US        d,1374310,2015,561.7,205,0001374310-16-000038,10-K,20151231,20160219,20160218,"CBOE Holdings, Inc.",1231
CBOE,CBOE US        d,1374310,2016,566.4,186.8,0001374310-17-000006,10-K,20161231,20170221,20170221,"CBOE Holdings, Inc.",1231
CBOE,CBOE US        d,1374310,2017,995.6,401.7,0001558370-18-000953,10-K,20171231,20180222,20180222,"Cboe Global Markets, Inc.",1231
CBOE,CBOE US        d,1374310,2018,1216.9,426.5,0001558370-19-000884,10-K,20181231,20190222,20190222,"Cboe Global Markets, Inc.",1231
CBOE,CBOE US        d,1374310,2019,1136.9,374.9,0001558370-20-001127,10-K,20191231,20200221,20200221,"Cboe Global Markets, Inc.",1231
CBOE,CBOE US        d,1374310,2020,1254.3,468.2,0001558370-21-001286,10-K,20201231,20210219,20210219,"Cboe Global Markets, Inc.",1231
CBOE,CBOE US        d,1374310,2021,1476.1,529,0001558370-22-001386,10-K,20211231,20220218,20220218,"Cboe Global Markets, Inc.",1231
CBOE,CBOE US        d,1374310,2022,1741.7,235,0001558370-23-001489,10-K,20221231,20230217,20230217,"Cboe Global Markets, Inc.",1231
CBRE,CBRE US        d,1138118,2004,2365.1,64.72,0001193125-05-051169,10-K,20041231,20050315,20050315,CB RICHARD ELLIS GROUP INC,1231
CBRE,CBRE US        d,1138118,2005,2910.64,217.34,0001193125-06-055100,10-K,20051231,20060315,20060315,CB RICHARD ELLIS GROUP INC,1231
CBRE,CBRE US        d,1138118,2006,4032.03,318.57,0001193125-07-044383,10-K,20061231,20070301,20070301,CB RICHARD ELLIS GROUP INC,1231
CBRE,CBRE US        d,1138118,2007,6034.25,390.51,0001193125-08-043674,10-K,20071231,20080229,20080229,CB RICHARD ELLIS GROUP INC,1231
CBRE,CBRE US        d,1138118,2008,5128.82,-1012.07,0001193125-09-042445,10-K,20081231,20090302,20090302,CB RICHARD ELLIS GROUP INC,1231
CBRE,CBRE US        d,1138118,2009,4165.82,33.34,0001193125-10-044595,10-K,20091231,20100301,20100301,CB RICHARD ELLIS GROUP INC,1231
CBRE,CBRE US        d,1138118,2010,5115.32,200.35,0001193125-11-051618,10-K,20101231,20110301,20110301,CB RICHARD ELLIS GROUP INC,1231
CBRE,CBRE US        d,1138118,2011,5905.41,239.16,0001193125-12-089257,10-K,20111231,20120229,20120229,"CBRE GROUP, INC.",1231
CBRE,CBRE US        d,1138118,2012,6514.1,315.56,0001193125-13-087299,10-K,20121231,20130301,20130301,"CBRE GROUP, INC.",1231
CBRE,CBRE US        d,1138118,2013,7184.79,316.54,0001193125-14-080228,10-K,20131231,20140303,20140303,"CBRE GROUP, INC.",1231
CBRE,CBRE US        d,1138118,2014,9049.92,484.5,0001193125-15-073030,10-K,20141231,20150302,20150302,"CBRE GROUP, INC.",1231
CBRE,CBRE US        d,1138118,2015,10855.81,547.13,0001193125-16-484680,10-K,20151231,20160229,20160229,"CBRE GROUP, INC.",1231
CBRE,CBRE US        d,1138118,2016,13071.59,571.97,0001193125-17-064772,10-K,20161231,20170301,20170301,"CBRE GROUP, INC.",1231
CBRE,CBRE US        d,1138118,2018,21340.09,1063.22,0001564590-19-005666,10-K,20181231,20190301,20190301,"CBRE GROUP, INC.",1231
CBRE,CBRE US        d,1138118,2019,23894.09,1282.36,0001564590-20-008056,10-K,20191231,20200302,20200302,"CBRE GROUP, INC.",1231
CBRE,CBRE US        d,1138118,2020,23826.2,751.99,0001138118-21-000012,10-K,20201231,20210224,20210224,"CBRE GROUP, INC.",1231
CBRE,CBRE US        d,1138118,2022,30828.25,1407.37,0001138118-23-000009,10-K,20221231,20230227,20230224,"CBRE GROUP, INC.",1231
CCI,CCI US          d,1051470,2000, , ,0000899243-01-000756,10-K,20001231,20010330,Not found,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2001, , ,0000899243-02-000902,10-K,20011231,20020401,Not found,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2002, , ,0000899243-03-000641,10-K,20021231,20030326,Not found,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2003, , ,0001193125-04-037856,10-K,20031231,20040310,Not found,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2004, , ,0001193125-05-063494,10-K,20041231,20050329,20050329,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2005, , ,0001193125-06-062600,10-K,20051231,20060324,20060324,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2006, , ,0001193125-07-042810,10-K,20061231,20070228,20070228,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2007, , ,0001193125-08-038926,10-K,20071231,20080227,20080226,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2008, , ,0001193125-09-039126,10-K,20081231,20090226,20090226,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2009, , ,0001193125-10-031419,10-K,20091231,20100216,20100216,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2010, , ,0001445305-11-000263,10-K,20101231,20110215,20110215,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2011, , ,0001051470-12-000007,10-K,20111231,20120213,20120213,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2014,3538.76,390.51,0001051470-15-000034,10-K,20141231,20150219,20150219,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2015,3663.85,1520.99,0001051470-16-000158,10-K,20151231,20160222,20160222,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2016,3921.23,356.97,0001051470-17-000059,10-K,20161231,20170222,20170222,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2017,4356,445,0001051470-18-000082,10-K,20171231,20180226,20180226,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2018,5370,622,0001051470-19-000046,10-K,20181231,20190225,20190225,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2019,5763,860,0001051470-20-000077,10-K,20191231,20200310,20200310,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2020,5840,1056,0001051470-21-000031,10-K,20201231,20210222,20210222,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2021,6340,1096,0001051470-22-000019,10-K,20211231,20220222,20220222,CROWN CASTLE INTERNATIONAL CORP,1231
CCI,CCI US          d,1051470,2022,6986,1675,0001051470-23-000041,10-K,20221231,20230224,20230224,CROWN CASTLE INC.,1231
CCL,CCL US         d,815097,2022,12168,-6093,0000815097-23-000012,10-K,20221130,20230127,20230127,CARNIVAL CORP,1130
CDNS,CDNS US       d,813672,2000,2372.85,35.9,0001095811-01-001886,10-K,20001230,20010329,Not found,CADENCE DESIGN SYSTEMS INC,102
CDNS,CDNS US       d,813672,2005,2526.67,123.82,0000950134-05-005251,10-K,20050101,20050316,20050316,CADENCE DESIGN SYSTEMS INC,102
CDNS,CDNS US       d,813672,2005,2526.67,123.82,0000950134-06-004749,10-K,20051231,20060310,20060310,CADENCE DESIGN SYSTEMS INC,102
CDNS,CDNS US       d,813672,2007,1615.01,296.25,0000950134-08-003361,10-K,20071229,20080226,20080226,CADENCE DESIGN SYSTEMS INC,102
CDNS,CDNS US       d,813672,2010,852.63,-149.87,0000950123-10-018407,10-K,20100102,20100226,20100226,CADENCE DESIGN SYSTEMS INC,1229
CDNS,CDNS US       d,813672,2011,2085.79,198.77,0000950123-11-017955,10-K,20110101,20110224,20110224,CADENCE DESIGN SYSTEMS INC,1229
CDNS,CDNS US       d,813672,2011,2085.79,198.77,0001193125-12-076117,10-K,20111231,20120224,20120223,CADENCE DESIGN SYSTEMS INC,1229
CDNS,CDNS US       d,813672,2012,1326.42,439.95,0000813672-13-000007,10-K,20121229,20130221,20130221,CADENCE DESIGN SYSTEMS INC,1229
CDNS,CDNS US       d,813672,2013,1460.12,164.24,0000813672-14-000008,10-K,20131228,20140220,20140220,CADENCE DESIGN SYSTEMS INC,1229
CDNS,CDNS US       d,813672,2015,1580.93,158.9,0000813672-15-000008,10-K,20150103,20150220,20150219,CADENCE DESIGN SYSTEMS INC,1228
CDNS,CDNS US       d,813672,2016,3518.17,455.5,0000813672-16-000040,10-K,20160102,20160218,20160218,CADENCE DESIGN SYSTEMS INC,1228
CDNS,CDNS US       d,813672,2016,3518.17,455.5,0000813672-17-000006,10-K,20161231,20170210,20170210,CADENCE DESIGN SYSTEMS INC,1228
CDNS,CDNS US       d,813672,2017,1943.03,204.1,0000813672-18-000008,10-K,20171230,20180220,20180220,CADENCE DESIGN SYSTEMS INC,1229
CDNS,CDNS US       d,813672,2018,2138.02,345.78,0000813672-19-000008,10-K,20181229,20190227,20190227,CADENCE DESIGN SYSTEMS INC,1229
CDNS,CDNS US       d,813672,2019,2336.32,988.98,0000813672-20-000007,10-K,20191228,20200224,20200224,CADENCE DESIGN SYSTEMS INC,1228
CDNS,CDNS US       d,813672,2021,2988.24,695.96,0000813672-21-000009,10-K,20210102,20210222,20210222,CADENCE DESIGN SYSTEMS INC,102
CDNS,CDNS US       d,813672,2022,3561.72,848.95,0000813672-22-000012,10-K,20220101,20220222,20220222,CADENCE DESIGN SYSTEMS INC,101
CDNS,CDNS US       d,813672,2022,3561.72,848.95,0000813672-23-000011,10-K,20221231,20230213,20230213,CADENCE DESIGN SYSTEMS INC,1231
CDW,CDW US         d,1402057,2013,10768.6,132.8,0001402057-14-000002,10-K,20131231,20140305,20140305,CDW Corp,1231
CDW,CDW US         d,1402057,2014,12074.5,244.9,0001402057-15-000003,10-K,20141231,20150226,20150226,CDW Corp,1231
CDW,CDW US         d,1402057,2015,12988.7,403.1,0001402057-16-000057,10-K,20151231,20160225,20160224,CDW Corp,1231
CDW,CDW US         d,1402057,2017,14832.9,523.1,0001402057-18-000038,10-K,20171231,20180301,20180228,CDW Corp,1231
CDW,CDW US         d,1402057,2018,16240.5,643,0001402057-19-000046,10-K,20181231,20190227,20190227,CDW Corp,1231
CDW,CDW US         d,1402057,2019,18032.4,736.8,0001402057-20-000042,10-K,20191231,20200228,20200228,CDW Corp,1231
CDW,CDW US         d,1402057,2020,18467.5,788.5,0001402057-21-000022,10-K,20201231,20210226,20210226,CDW Corp,1231
CDW,CDW US         d,1402057,2021,20820.8,988.6,0001402057-22-000020,10-K,20211231,20220228,20220228,CDW Corp,1231
CDW,CDW US         d,1402057,2022,23748.7,1114.5,0001402057-23-000052,10-K,20221231,20230224,20230224,CDW Corp,1231
CE,CE US           d,1306830,2006,5778,406,0000950123-07-002533,10-K,20061231,20070221,20070221,Celanese CORP,1231
CE,CE US           d,1306830,2007,6444,426,0000950123-08-002318,10-K,20071231,20080229,20080229,Celanese CORP,1231
CE,CE US           d,1306830,2008,6823,282,0000950134-09-002731,10-K,20081231,20090213,20090213,Celanese CORP,1231
CE,CE US           d,1306830,2009,5082,498,0000950123-10-012453,10-K,20091231,20100212,20100212,Celanese CORP,1231
CE,CE US           d,1306830,2010,5918,377,0000950123-11-012862,10-K,20101231,20110211,20110211,Celanese CORP,1231
CE,CE US           d,1306830,2011,6763,607,0001306830-12-000015,10-K,20111231,20120210,20120210,Celanese CORP,1231
CE,CE US           d,1306830,2012,6418,372,0001306830-13-000007,10-K,20121231,20130208,20130208,Celanese Corp,1231
CE,CE US           d,1306830,2013,6510,1101,0001306830-14-000011,10-K,20131231,20140207,20140207,Celanese Corp,1231
CE,CE US           d,1306830,2014,6802,624,0001306830-15-000022,10-K,20141231,20150206,20150206,Celanese Corp,1231
CE,CE US           d,1306830,2015,5674,304,0001306830-16-000212,10-K,20151231,20160205,20160205,Celanese Corp,1231
CE,CE US           d,1306830,2016,5389,900,0001306830-17-000034,10-K,20161231,20170210,20170210,Celanese Corp,1231
CE,CE US           d,1306830,2017,6140,843,0001306830-18-000030,10-K,20171231,20180209,20180209,Celanese Corp,1231
CE,CE US           d,1306830,2018,7155,1207,0001306830-19-000014,10-K,20181231,20190207,20190207,Celanese Corp,1231
CE,CE US           d,1306830,2019,6297,852,0001306830-20-000018,10-K,20191231,20200206,20200206,Celanese Corp,1231
CE,CE US           d,1306830,2020,5655,1985,0001306830-21-000020,10-K,20201231,20210211,20210211,Celanese Corp,1231
CE,CE US           d,1306830,2021,8537,1890,0001306830-22-000017,10-K,20211231,20220210,20220210,Celanese Corp,1231
CE,CE US           d,1306830,2022,9673,1894,0001306830-23-000023,10-K,20221231,20230224,20230224,Celanese Corp,1231
CF,CF US           d,1324404,2005,1908.4,-39,0001047469-06-003695,10-K,20051231,20060320,20060320,"CF Industries Holdings, Inc.",1231
CF,CF US           d,1324404,2006,2032.9,33.3,0001104659-07-014916,10-K,20061231,20070228,20070228,"CF Industries Holdings, Inc.",1231
CHRW,CHRW US       d,1043277,2008,8578.61,359.18,0001193125-09-040954,10-K,20081231,20090227,20090227,C H ROBINSON WORLDWIDE INC,1231
CHRW,CHRW US       d,1043277,2009,7577.19,360.83,0001193125-10-044679,10-K,20091231,20100301,20100301,C H ROBINSON WORLDWIDE INC,1231
CHTR,CHTR US       d,1091667,2002, , ,0000950123-03-004266,10-K,20021231,20030415,Not found,CHARTER COMMUNICATIONS INC /MO/,1231
CHTR,CHTR US       d,1091667,2003, , ,0000950137-04-001876,10-K,20031231,20040315,Not found,CHARTER COMMUNICATIONS INC /MO/,1231
CHTR,CHTR US       d,1091667,2004, , ,0000950137-05-002540,10-K,20041231,20050303,20050302,CHARTER COMMUNICATIONS INC /MO/,1231
CHTR,CHTR US       d,1091667,2005,5254,-967,0001091667-06-000093,10-K,20051231,20060228,20060228,CHARTER COMMUNICATIONS INC /MO/,1231
CHTR,CHTR US       d,1091667,2006,5504,-1370,0001091667-07-000015,10-K,20061231,20070228,20070228,CHARTER COMMUNICATIONS INC /MO/,1231
CHTR,CHTR US       d,1091667,2007,6002,-1616,0001091667-08-000004,10-K,20071231,20080227,20080227,CHARTER COMMUNICATIONS INC /MO/,807
CHTR,CHTR US       d,1091667,2008,6479,-2451,0001091667-09-000038,10-K,20081231,20090316,20090316,CHARTER COMMUNICATIONS INC /MO/,807
CHTR,CHTR US       d,1091667,2009,6755,11366,0001091667-10-000019,10-K,20091231,20100226,20100226,"CHARTER COMMUNICATIONS, INC. /MO/",1231
CHTR,CHTR US       d,1091667,2010,7059,-237,0001091667-11-000029,10-K,20101231,20110301,20110301,"CHARTER COMMUNICATIONS, INC. /MO/",1231
CHTR,CHTR US       d,1091667,2013,8155,-169,0001091667-14-000080,10-K,20131231,20140221,20140221,"CHARTER COMMUNICATIONS, INC. /MO/",1231
CHTR,CHTR US       d,1091667,2014,9108,-183,0001091667-15-000049,10-K,20141231,20150224,20150223,"CHARTER COMMUNICATIONS, INC. /MO/",1231
CHTR,CHTR US       d,1091667,2015,9754,-271,0001091667-16-000396,10-K,20151231,20160210,20160209,"CHARTER COMMUNICATIONS, INC. /MO/",1231
CHTR,CHTR US       d,1091667,2016,29003,3522,0001091667-17-000030,10-K,20161231,20170216,20170216,"CHARTER COMMUNICATIONS, INC. /MO/",1231
CHTR,CHTR US       d,1091667,2017,41581,9895,0001091667-18-000025,10-K,20171231,20180202,20180202,"CHARTER COMMUNICATIONS, INC. /MO/",1231
CHTR,CHTR US       d,1091667,2018,43634,1230,0001091667-19-000029,10-K,20181231,20190131,20190131,"CHARTER COMMUNICATIONS, INC. /MO/",1231
CHTR,CHTR US       d,1091667,2019,45764,1668,0001091667-20-000024,10-K,20191231,20200131,20200131,"CHARTER COMMUNICATIONS, INC. /MO/",1231
CHTR,CHTR US       d,1091667,2020,48097,3222,0001091667-21-000022,10-K,20201231,20210129,20210129,"CHARTER COMMUNICATIONS, INC. /MO/",1231
CHTR,CHTR US       d,1091667,2021,51682,4654,0001091667-22-000024,10-K,20211231,20220128,20220128,"CHARTER COMMUNICATIONS, INC. /MO/",1231
CHTR,CHTR US       d,1091667,2022,54022,5055,0001091667-23-000024,10-K,20221231,20230127,20230127,"CHARTER COMMUNICATIONS, INC. /MO/",1231
CI,CI US           d,1739940,2019,153566,5104,0001739940-20-000006,10-K,20191231,20200227,20200227,Cigna Corp,1231
CI,CI US           d,1739940,2020,160401,8458,0001739940-21-000007,10-K,20201231,20210225,20210225,Cigna Corp,1231
CI,CI US           d,1739940,2021,174078,5365,0001739940-22-000007,10-K,20211231,20220224,20220224,Cigna Corp,1231
CI,CI US           d,1739940,2022,180516,6668,0001739940-23-000008,10-K,20221231,20230223,20230223,Cigna Group,1231
CINF,CINF US        d,20286,2004,3614,584,0000950152-05-002027,10-K,20041231,20050314,20050311,CINCINNATI FINANCIAL CORP,1231
CINF,CINF US        d,20286,2005,3767,602,0000950152-06-001975,10-K,20051231,20060310,20060310,CINCINNATI FINANCIAL CORP,1231
CINF,CINF US        d,20286,2005,3767,602,0000950152-06-002155,10-K/A,20051231,20060316,20060316,CINCINNATI FINANCIAL CORP,1231
CINF,CINF US        d,20286,2006,4550,930,0000950152-07-001625,10-K,20061231,20070228,20070228,CINCINNATI FINANCIAL CORP,1231
CINF,CINF US        d,20286,2007,4259,855,0000950152-08-001543,10-K,20071231,20080229,20080229,CINCINNATI FINANCIAL CORP,1231
CINF,CINF US        d,20286,2008,3824,429,0000950152-09-001908,10-K,20081231,20090227,20090227,CINCINNATI FINANCIAL CORP,1231
CINF,CINF US        d,20286,2009,3903,432,0001144204-10-010174,10-K,20091231,20100226,20100226,CINCINNATI FINANCIAL CORP,1231
CINF,CINF US        d,20286,2010,3772,377,0001144204-11-011090,10-K,20101231,20110225,20110225,CINCINNATI FINANCIAL CORP,1231
CINF,CINF US        d,20286,2011,3803,164,0001144204-12-011957,10-K,20111231,20120229,20120229,CINCINNATI FINANCIAL CORP,1231
CINF,CINF US        d,20286,2012,4111,421,0001144204-13-011557,10-K,20121231,20130227,20130227,CINCINNATI FINANCIAL CORP,1231
CINF,CINF US        d,20286,2013,4531,517,0000020286-14-000009,10-K,20131231,20140227,20140227,CINCINNATI FINANCIAL CORP,1231
